DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,make / manufacturer,model name / number,size / dimensions
"
2021-12-1406:39
",0,https://losangeles.craigslist.org/wst/bfd/d/los-angeles-quality-selection-used/7420598264.html,,,,good,,,,,,,,,,FORK LIFT FORK LIFTS,USED FORKLIFTS,ELECTRIC LP GAS
"
2021-12-1311:14
",4995,https://losangeles.craigslist.org/sfv/hvd/d/san-diego-cascade-paper-roll-clamp/7420302980.html,delivery available,deli,,,,,,,,,,,,Cascade,90F-RCP-01C,0
"
2021-12-0516:39
",0,https://losangeles.craigslist.org/lac/hvd/d/colton-december-public-auction-offering/7416971861.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0315:54
",0,https://losangeles.craigslist.org/lac/ctd/d/colton-suvs-for-sale-in-public-auction/7416140074.html,1998 FORD EXPLORER,1998,172053,,,,gas,,,clean,automatic,,,0,0,0
"
2021-12-0215:49
",0,https://losangeles.craigslist.org/lac/hvd/d/colton-check-out-our-heavy-trucks-and/7415685836.html,,,,,,,,,,,,,,0,0,0
"
2021-12-0215:08
",0,https://losangeles.craigslist.org/lac/hvd/d/colton-tons-of-heavy-equipments-in-our/7415669834.html,,,,,,,,,,,,,,0,0,0
"
2021-12-1008:11
",1795,https://losangeles.craigslist.org/lac/hvd/d/san-diego-multiquip-mtx80sd-rammer/7418973658.html,delivery available,deli,,,,,,,,,,,,Multiquip,MTX80SD,0
"
2021-12-1008:08
",4995,https://losangeles.craigslist.org/sfv/hvd/d/san-diego-cascade-push-pull-attachment/7418971633.html,delivery available,deli,,,,,,,,,,,,Cascade,Push Pull,0
"
2021-12-0818:18
",59900,https://losangeles.craigslist.org/wst/hvd/d/kenworth-t800-day-cab-super-clean-2012/7418369981.html,,,,good,,,,,,,,,,KENWORTH T800 DAY CAB,KENWORTH T800 DAY CAB,0
"
2021-12-0814:42
",71388,https://losangeles.craigslist.org/lac/ctd/d/bloomington-2021-tesla-model-long-range/7418293625.html,2021 Tesla Model Y,2021,3640,,other,4wd,electric,white,,clean,automatic,SUV,5YJYGAEE9MF214159,0,0,0
"
2021-12-0814:23
",8000,https://losangeles.craigslist.org/sfv/hvd/d/vineyard-scissor-lift-2015-genie-gs/7418285684.html,delivery available,deli,,good,,,,,,,,,,Genie,GS-1930 Scissor Lift,0
"
2021-12-0717:21
",51588,https://losangeles.craigslist.org/lac/ctd/d/bloomington-2018-tesla-model-long-range/7417905017.html,2018 Tesla Model 3,2018,15933,,,rwd,other,,,clean,automatic,sedan,5YJ3E1EA6JF051768,0,0,0
"
2021-12-0713:08
",0,https://losangeles.craigslist.org/lac/ctd/d/lakewood-2020-mercedes-benz-gle-gle-350/7417798797.html,2020 mercedes-benz,2020,11349,,4 cylinders,rwd,other,,compact,clean,automatic,,4JGFB4JB9LA123124,0,0,0
"
2021-12-0609:26
",31900,https://losangeles.craigslist.org/lgb/ctd/d/long-beach-ford-450-bucket-truck-basket/7417212530.html,delivery available,deli,129623,excellent,8 cylinders,rwd,diesel,white,full-size,clean,automatic,truck,1FDXF46R18ED95147,0,0,0
"
2021-12-0609:16
",0,https://losangeles.craigslist.org/lac/hvd/d/colton-industrial-electrical-equipment/7417206201.html,,,,,,,,,,,,,,0,0,0
"
2021-11-3010:39
",5552,https://losangeles.craigslist.org/sgv/bfd/d/san-dimas-ekko-eb12e-pallet-walkie/7414628414.html,,,,,,,,,,,,,,EKKO,EB12E,"119"" Lift Height"
"
2021-12-0408:15
",0,https://losangeles.craigslist.org/wst/bfd/d/portland-425-acre-beautiful-farm-on-the/7416352063.html,,,,,,,,,,,,,,0,0,0
"
2021-11-3018:33
",34900,https://losangeles.craigslist.org/wst/hvd/d/freightliner-cascadia-125-single-axle/7414838327.html,,,,good,,,,,,,,,,FREIGHTLINER DAY CAB TRUCK SINGL,FREIGHTLINER DAY CAB TRUCK SINGL,0
"
2021-11-3010:39
",315,https://losangeles.craigslist.org/lac/bfd/d/san-dimas-brand-new-manual-lift-truck/7414628250.html,delivery available,deli,,,,,,,,,,,,0,0,27x48 Forks 4400#/5500# Cap.
"
2021-11-3009:39
",32900,https://losangeles.craigslist.org/wst/hvd/d/freightliner-business-class-model-low/7414591859.html,,,,good,,,,,,,,,,FREIGHTLINER BUSINESS CLASS M2,FREIGHTLINER BUSINESS CLASS M2,0
"
2021-11-3004:28
",109900,https://losangeles.craigslist.org/wst/hvd/d/kobelco-excavator-sk140sr-lc-hours/7414455133.html,,,,excellent,,,,,,,,,,"KOBELCO SK140SR LC-5, 2018","KOBELCO SK140SR LC-5, 2018",0
"
2021-11-2922:04
",49900,https://losangeles.craigslist.org/sfv/hvd/d/volvo-vnl64t300-day-cab-truck-tractor/7414419427.html,,,,good,,,,,,,,,,VOLVO DAY CAB 2013,VOLVO DAY CAB 2013,0
