DateTime,price,url,model,year,odometer,condition,cylinders,drive,fuel,paint color,size,title status,transmission,type,VIN,engine displacement (CC),make / manufacturer,model name / number,size / dimensions
"
2021-12-2014:26
",765,https://losangeles.craigslist.org/lgb/bfd/d/nsf-griddle-grills-restaurant-equipment/7423270774.html,,,,new,,,,,,,,,,0,Chef AAA,Brand New,Free Shipping
"
2021-12-2014:21
",2900,https://losangeles.craigslist.org/lgb/cto/d/whittier-triumph-spitfire-1979-garaged/7423268691.html,1979 triumph spitfire,1979,1000,good,4 cylinders,,gas,red,,clean,manual,,,0,0,0,0
"
2021-12-2014:00
",7995,https://losangeles.craigslist.org/sfv/mcd/d/las-vegas-2018-triumph-tiger-800-xrt/7423259379.html,2018 Triumph Tiger 800 XRT Matt Cobal,2018,31303,,,,other,blue,,clean,other,,,0,0,0,0
"
2021-12-2011:37
",1390,https://losangeles.craigslist.org/lac/bfd/d/los-angeles-commercial-glass-gelato/7423190850.html,,,,new,,,,,,,,,,0,Chef AAA,Manufacture Warranty,Brand New
"
2021-11-2911:26
",25,https://losangeles.craigslist.org/lgb/atq/d/cerritos-ronson-triumph-lighter/7414185505.html,,,,excellent,,,,,,,,,,0,RONSON,TRIUMPH,0
"
2021-12-2011:09
",2105,https://losangeles.craigslist.org/wst/bfd/d/los-angeles-nsf-gas-ranges-griddle/7423175947.html,,,,new,,,,,,,,,,0,Chef AAA,FREE SHIPPING,BRAND NEW
"
2021-12-2009:54
",125,https://losangeles.craigslist.org/sfv/mpo/d/studio-city-triumph-motone-retro/7423135530.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2009:55
",35,https://losangeles.craigslist.org/sfv/mpo/d/studio-city-triumph-bar-end-mirror/7423135760.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2009:54
",55,https://losangeles.craigslist.org/sfv/mpo/d/studio-city-triumph-superlite/7423135651.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2009:54
",185,https://losangeles.craigslist.org/sfv/mpo/d/studio-city-triumph-900-stator-rotor/7423135313.html,,,,,,,,,,,,,,0,0,0,0
"
2021-12-2009:53
",18,https://losangeles.craigslist.org/sfv/mpo/d/studio-city-triumph-sidecover-seat/7423135182.html,,,,,,,,,,,,,,0,0,0,0
"
2021-11-2015:37
",279,https://losangeles.craigslist.org/lgb/clo/d/norwalk-triumph-motorcycles-mens/7410716021.html,,,,excellent,,,,,,,,,,0,0,0,0
"
2021-12-2009:25
",35,https://losangeles.craigslist.org/wst/mpo/d/los-angeles-vintage-triumph-morgo-big/7423119710.html,,,,good,,,,,,,,,,0,0,0,0
"
2021-12-0511:50
",55,https://losangeles.craigslist.org/sfv/bab/d/calabasas-maclaren-triumph-stroller-red/7416857167.html,,,,good,,,,,,,,,,0,Maclaren,Triumph,0
"
2021-12-1923:00
",11495,https://losangeles.craigslist.org/sfv/mcd/d/las-vegas-2020-triumph-street-triple-rs/7422971837.html,2020 Triumph Street Triple RS Silver,2020,9767,,,,gas,,,clean,other,,,0,0,0,0
"
2021-12-0513:17
",70,https://losangeles.craigslist.org/wst/pts/d/jensen-triumph-race-brake-rotor/7416896871.html,,,,new,,,,,,,,,,0,0,0,0
"
2021-12-1910:39
",4700,https://losangeles.craigslist.org/lac/mcy/d/crestline-triumph-thunderbird/7422769139.html,street legal,stre,9000,excellent,,,gas,blue,,clean,manual,cafe racer,,0,0,0,0
"
2021-12-1823:54
",10000,https://losangeles.craigslist.org/sgv/mcy/d/glendora-1973-triumph-tr5t-trophy-trail/7422627539.html,street legal,stre,6995,excellent,,,gas,,,clean,manual,dual-sport,,0,0,0,0
"
2021-12-1812:27
",159,https://losangeles.craigslist.org/lgb/bfd/d/los-angeles-nsf-stainless-steel-work/7422463889.html,,,,new,,,,,,,,,,0,Chef AAA,FREE SHIPPING,BRAND NEW
"
2021-12-1809:42
",30,https://losangeles.craigslist.org/wst/mpo/d/san-pedro-triumph-rocket-air-filter/7422379281.html,,,,new,,,,,,,,,,0,Triumph,T2202203,0
"
2021-12-1801:06
",8995,https://losangeles.craigslist.org/sfv/mcd/d/las-vegas-2017-triumph-bonneville/7422240205.html,2017 Triumph Bonneville Bobber Ironst,2017,22766,,,,gas,grey,,clean,other,,,0,0,0,0
